"Date","AKS","AM","COG","CPE","D","DVN","EQT","ESV","FOXF","GIG","GPOR","HES","MTDR","PE","PRAH","QEP","SABR","SE","SPWH","SRC","SWN","SYRG","WGP","USO","SPY"
"2016-05-06",19138500,490300,5618600,2644800,2379900,10078600,1544700,9167000,202000,482200,2738700,3585800,1093600,4004800,446300,3778200,2659600,4409400,329700,5599900,13823900,15568400,213700,26396700,89315000
"2016-05-05",16213400,423600,5736800,4863800,2697800,11039800,1789900,8658600,211800,224500,3277900,3638200,1713400,4412400,1029100,4605800,1499400,5860900,178900,7951800,11772900,59630200,209600,34159000,67619200
"2016-05-04",26665500,408400,6109600,3835900,3191100,18024300,2871500,8876300,177300,310900,2469300,3796400,2573400,2912400,1005100,4700400,1653500,5562800,284800,6623200,16654800,22151300,123700,24287300,92243800
"2016-05-03",35551400,474200,6052800,3426900,3919300,12722900,15006300,11723100,186900,195000,3172400,4137900,1771700,2774500,3688600,6156800,1571000,6162200,469700,6987700,19508300,2513300,127100,28412200,106422100
"2016-05-02",24984900,580800,7860700,5481600,3025200,9928100,1834200,13366700,80300,969100,2728000,3295100,1497900,3589700,751700,7532100,2387500,3659300,274200,9896300,20251200,3344500,51100,21614400,62188000
"2016-04-29",121110600,709700,8403200,8805200,4506100,17332000,1960900,13155900,100600,323200,2296800,4629200,1559900,4457200,496300,8804200,2906100,4343400,241000,13645100,21196700,6116300,121500,34802100,142424100
"2016-04-28",10321100,631000,8760600,3903000,2678200,12081400,3184100,11335900,127700,762600,2017600,7033500,1048500,2151400,864700,7548400,3325700,3181400,369300,7690100,23843600,2701500,208100,24935900,97216200
"2016-04-27",9700400,278100,9105000,5720500,3244300,14921700,2518300,12589700,112400,634200,3718600,8447400,1475200,2836300,397900,7406300,2905600,3629200,234000,11637400,25510500,3288900,271900,37920900,77329400
"2016-04-26",14121700,273900,7699700,5002700,2322600,10971400,1707500,8644600,99400,158100,1673800,4697600,1253200,2332600,377700,4339600,2551500,4089000,223700,8596400,19631400,7675600,274900,19190200,75864200
"2016-04-25",8394400,240000,12323900,4659800,2588500,11134700,1073900,8155900,114000,333600,1717200,3854400,1261800,3531400,310200,3484500,1992700,3570800,312400,7179900,23096400,3099200,178200,21975800,66166500
"2016-04-22",7125400,533400,5510800,6398100,2552400,11294700,1026600,10401000,77100,499400,1972900,5910000,1164400,2026800,246500,3473200,2077000,3706400,706900,8079400,35784900,5793100,76700,29964200,99251700
"2016-04-21",8674700,447300,5989700,6489400,3555300,14104500,1304800,11183600,137400,928800,1711900,4905000,1108800,2253900,232900,5276100,1073000,4324400,307000,8481300,21681500,5540900,216600,27139900,85695000
"2016-04-20",10675700,615500,4432000,37829200,2552000,12902400,1025600,11912600,86400,1086800,1693600,5894400,2122500,2996100,184100,4783400,1914700,3897900,336200,3334300,18436400,3311500,73300,42501200,81100300
"2016-04-19",11387100,313900,4796800,3064900,2431100,11769100,1088200,28786700,76600,1387900,1632100,4789400,1484900,2728800,293700,3691600,1923800,3566000,1199800,3473500,19359400,2685000,59600,37479900,88316100
"2016-04-18",10482600,192000,4518500,3340300,2656800,10880100,805200,22095700,89700,716000,1736900,9347800,964800,2643400,379900,3269200,1742500,4465900,601600,3678500,14684900,2699400,78200,38997500,82531000
"2016-04-15",5076900,150000,6105200,3505700,2405200,10890900,1017000,98476500,617600,237100,1170100,4578200,823300,4076500,370800,3147700,2175900,7744600,615900,4272600,16095900,3310600,157700,34981000,75761600
"2016-04-14",8606900,282100,6293400,3131900,1620000,10436500,1385300,8240000,382500,136700,1062500,3856400,1308600,2928200,367200,2702300,2730900,4891800,869000,6633800,13732600,3467700,120900,31757500,65212900
"2016-04-13",10788800,580100,6176300,2397100,1790700,13266200,1697900,11351400,107600,190400,2154000,4069600,1295800,4576000,241700,5007400,10599200,3204500,5630400,8655400,18948900,3399000,135200,42934000,96336400
"2016-04-12",8903100,742100,6140300,2452200,2776300,16470200,1346100,12586400,122300,263700,2409300,5369000,2217400,5080400,268100,4227100,3484400,6058700,1017100,55949400,27406600,4056400,57900,56664700,115350600
"2016-04-11",9352900,257600,5525000,1717700,2627600,8342400,1449200,4881100,149200,364000,1955400,3872700,1275800,3346100,300600,2994300,2565600,4547400,417800,3892500,15750000,18920400,107100,29067700,83757500
"2016-04-08",8577500,291700,5596400,2366300,2416600,9888100,1381200,7362400,249700,371200,2499500,3419700,1333100,4406700,381900,3455900,2136800,4512700,224300,4371100,13856800,1445100,77700,47156500,95040600
"2016-04-07",8880700,381100,5166700,1959000,2336400,10606900,1838500,7140100,314800,188200,1925100,3591300,1205800,3030600,401500,3016700,3793400,7256700,211900,3213300,19188400,1284300,117900,28205000,113859000
"2016-04-06",5974400,351000,6151700,2071800,4226800,12189100,1649600,8787800,119700,517500,2387500,4509800,1242600,6077200,253200,3802300,1066400,8792500,360100,3179000,15896700,2565900,213900,45696600,91839800
"2016-04-05",5141700,407200,7657900,2132000,7976200,10035400,1463800,7662200,74700,316700,2586200,3202500,2038500,15530400,239400,4815800,1695400,13579900,601900,4328600,17874700,1526700,99400,42668400,99662200
"2016-04-04",5541300,512500,6589400,2545600,2013700,8820200,1145100,6664300,144700,892100,1913700,3484200,1463800,1650900,371900,3528200,2701800,3662800,491000,3289900,23401900,1501700,126000,38727100,63497000
"2016-04-01",6937000,512000,5176800,2358500,2347700,15199900,1268300,11640900,162900,185400,2194900,3415400,2577600,2078800,377100,3836600,1992500,3277400,314200,3809900,15694200,1423900,112800,40266100,114423500
"2016-03-31",10129200,636700,6860100,4431100,2717800,11418900,1354000,8736600,112900,174000,2632400,4264400,2820500,1694000,364600,6119000,2136600,3576500,399300,6571700,13028200,1927900,102800,32692400,94584100
"2016-03-30",8144500,528500,4798500,3477200,1958600,10610500,1506800,12190200,227000,251100,1988700,3270200,2476100,2711100,258600,4562100,1924500,2722400,393400,8896600,13043100,1315600,129900,36954600,86365300
"2016-03-29",8910700,1125000,4779600,3145200,2752800,12580000,2000900,51307600,192500,293300,3755900,4434900,1830100,2140500,723700,4159600,2334800,3578100,349800,2975400,18379400,1739100,155900,34974600,92922900
"2016-03-28",6880400,662900,5571600,1793900,1977000,9698900,1500900,8079500,107800,281900,2239900,3845300,1155100,1636100,600400,3345100,1239900,2609700,405000,3146400,8697000,1175000,71000,27248100,62408200
"2016-03-24",9782600,6348200,5672800,2776900,1594600,12753400,1887500,5397100,355700,323500,2128000,4212300,1980600,2023400,200600,3696100,1282600,4499200,1111000,2721800,10038400,2434300,119400,50576300,84360900
"2016-03-23",6416200,343700,5256500,2526800,1828700,14814600,1113400,6452100,126000,702700,3131600,4246500,1862700,1846100,279600,3404000,1043500,2393600,498800,2378900,9892100,1959300,68200,40194200,81052500
